District / Council,Ward / Village,Number of Households 2012,Total Population 2012,Total Projected Population 2014,People per household 2012,Projected annual % pop. growth rate
,Matongoro,730,"3,346","3,500",4.58,2.3013%
,Mlanje,531,"2,429","2,541",4.57,2.3055%
,Norini,947,"4,320","4,520",4.56,2.3148%
18,Ngomai Ward,"2,122","10,534","11,021",4.96,2.3116%
,Chilanjilizi,257,"1,354","1,417",5.27,2.3264%
,Ngomai,"1,339","6,448","6,746",4.82,2.3108%
,Manyata,526,"2,732","2,858",5.19,2.3060%
19,Songambele Ward,"3,903","17,712","18,530",4.54,2.3092%
,Songambele 'A',"1,325","6,316","6,608",4.77,2.3116%
,Songambele 'B',"1,412","6,075","6,356",4.30,2.3128%
 ,Muungano,420,"1,926","2,015",4.59,2.3105%
,Masena,356,"1,476","1,544",4.15,2.3035%
,Mtunguchole,390,"1,918","2,007",4.92,2.3201%
20,Chiwe Ward,"3,479","19,479","20,379",5.60,2.3102%
,Moleti,"1,149","6,454","6,752",5.62,2.3086%
,Chiwe,"1,352","7,538","7,887",5.58,2.3149%
,Vihingo,602,"3,431","3,589",5.70,2.3025%
,Lengaji,376,"2,056","2,151",5.47,2.3103%
21,Lenjulu Ward,"2,621","14,440","15,107",5.51,2.3096%
,Lobilo,633,"3,644","3,813",5.76,2.3189%
,Lenjulu,830,"4,535","4,745",5.46,2.3153%
,Kiteto,443,"2,443","2,556",5.51,2.3127%
,Majawanga,715,"3,817","3,994",5.34,2.3186%
22,Nghumbi Ward,"1,944","11,509","12,041",5.92,2.3112%
,Pembamoto,583,"3,502","3,664",6.01,2.3130%
,Nghumbi,607,"3,748","3,921",6.17,2.3079%
,Iyumbi,367,"2,112","2,210",5.75,2.3201%
,Mbagilwa,387,"2,147","2,247",5.55,2.3288%
