SampleID,Gender,HowOld,IsOwner,whichMill,MillUsage,harvestMonth,homestoresLeft,storesDuration,otherSourcesMaize,otherFoods,agThreats,AFatHarvest,AFinStorage,AFpractices,Comments
18nov15_01_001,F,Adult,FALSE,Closest,80,5,FALSE,7,,"Millet, sorghum","Drought, army worms, stalk borer, birds, ear rot",TRUE,FALSE,feed discard,
18nov15_01_002,F,Adult,FALSE,Fine flour produced here,80,5,FALSE,3,mkt f_n,"Sorghum, millet, groundnut, sometimes mixes cassava","Drought, wild pigs or other wildlife eating maize, army worms, ear rot, weevil",TRUE,TRUE,food feed,Uses mildly discolored grain at harvest for chicken feed
18nov15_02_001,F,teen,FALSE,Her brother's,60,6,TRUE,6,fam,"Groundnuts, sardines for lishe","Lizards eat seeds or seedlings, weevil, drought, ear rot, ants",TRUE,FALSE,discard,"Also notices molds on groundnut, sometimes raining during groundnut harvest"
18nov15_02_002,M,child,FALSE,Closest one - parents send him,70,6,FALSE,4,f_n,None,"Lizards eating seeds or seedlings, or even rats, weevil, drought, ear rot",TRUE,FALSE,discard,Noted that if they don't use insecticide before storage grains will be infected by both weevil and mold
18nov15_03_001,F,Adult,TRUE,Her own,70,7,FALSE,0,mkt f_n,"Millet, sorghum","Drought, birds, ear rot",TRUE,TRUE,discard,Did not harvest any maize this year due to unfavorable conditions
18nov15_03_002,M,Adult,FALSE,Closest,80,7,FALSE,0,mkt f_n,Millet,"Drought (by far biggest problem), army worms, ear rot (but not severe)",TRUE,TRUE,food discard,Discolored maize kept for food and dehulled if not too severe
18nov15_03_003,F,Adult,FALSE,One of two in the village - doesn't matter which,90,7,FALSE,4,mkt,"Millet, sorghum","Birds, drought, army worms, ear rot",TRUE,TRUE,food feed discard,
18nov15_03_004,F,Adult,FALSE,"One of two in village, doesn't matter which",90,6,FALSE,0,mkt f_n,"Millet, sorghum","Army worms, drought, famine, weevil, ear rot",TRUE,TRUE,food feed discard,Didn't harvest any maize this year - most people in village did not
19nov15_01_001,F,teen,FALSE,Closest,80,6,FALSE,0,f_n,"Sorghum, millet","Drought, birds, weevil",TRUE,TRUE,discard,No maize harvest this year. Ear rot only once in a while
19nov15_01_002,F,teen,FALSE,Closest,80,6,TRUE,6,mkt f_n fam,"Millet, sorghum","Drought, maasai' cattle eating maize out of the field, storage weevils, mild ear rot, army worms",TRUE,TRUE,food feed,
19nov15_01_003,F,teen,FALSE,Closest,80,7,FALSE,2,f_n fam,"Millet, sorghum","Drought, ants, ear rot",TRUE,TRUE,food feed discard,
19nov15_01_004,M,teen,FALSE,Closest,80,6,TRUE,8,f_n fam,None,"Drought, birds, army worms, ants",FALSE,FALSE,,
19nov15_01_005,M,teen,FALSE,Closest,80,7,TRUE,5,f_n fam,"Millet, sorghum","Drought, grasshoppers, lizards, stalk borers, ear rot, weeds",TRUE,TRUE,food sell discard,Uses specific insecticide in storage from kibaigua
19nov15_02_001,F,Adult,FALSE,Good quality flour,60,7,FALSE,4,f_n fam,Millet,"Drought, birds, weeds, mild ear rot",TRUE,TRUE,food feed,
19nov15_02_002,M,teen,FALSE,Closest,80,5,TRUE,7,f_n fam,"Millet, sorghum","Drought, weeds, ants, weevil, ear rot",TRUE,TRUE,food feed,
19nov15_03_001,F,Adult,FALSE,"Closest, good quality flour",80,6,TRUE,7,mkt f_n,None,"Drought, stalk borer, weevil, ear rot",TRUE,FALSE,sell discard,
19nov15_03_002,F,teen,FALSE,Good quality flour,80,7,TRUE,6,mkt f_n,Sorghum,"Drought, rains close to harvest, stalk borer, ear rot, weevils",TRUE,TRUE,sell discard,
20nov15_01_001,F,Adult,FALSE,"Closest, good quality flour",80,7,TRUE,7,f_n fam,None,"Drought, ear rot, stalk borer",TRUE,FALSE,discard,Only small amount of ear rot damage
20nov15_01_002,F,Adult,FALSE,Closest,80,7,TRUE,5,f_n fam,"Lishe ingredients like rice, groundnut, finger millet","Drought, army worms, stalk borer, weevils, little ear rot",TRUE,FALSE,discard,
20nov15_02_001,F,Adult,FALSE,"Closest, produces good flour",80,7,TRUE,8,f_n fam,"Groundnut, millet, finger millet, rice","Drought, wildlife eating crop, ear rot, weevils",TRUE,TRUE,sell,
20nov15_02_002,F,teen,FALSE,"Closest, habit",80,6,TRUE,8,f_n fam,"Sorghum, millet, mixture of maize and dried cassava","Weevils, drought, ear rot, birds, army worms",TRUE,TRUE,discard,Saving remainder of home stores for seed
20nov15_02_003,M,teen,FALSE,"Closest, fine flour",70,7,TRUE,5,f_n fam,"Groundnut, rice, sorghum, finger millet, mixture of dried cassava and sorghum","Drought, stalk borer, army worms, weeds, ear rot, weevils",TRUE,TRUE,food feed discard,
20nov15_03_001,F,Adult,FALSE,"Closest, good flour, flexible price",80,6,TRUE,4,mkt fam,None,"Stalk borer, weevil, weeds, army worms, ear rot, drought",TRUE,TRUE,discard,Goes to Kibaigwa when maize not available in village
20nov15_03_002,F,teen,FALSE,"Closest, good flour, flexible price",80,7,TRUE,4,mkt f_n fam,None,"Stalk borer, army worms, drought, weeds, ear rot, weevil",TRUE,FALSE,discard,
20nov15_04_001,F,Adult,FALSE,Closest,80,6,TRUE,5,f_n fam,Maize,"Weeds, drought, ear rot, weevils",TRUE,FALSE,food feed discard,
20nov15_04_002,F,teen,FALSE,Closest,70,6,TRUE,6,f_n fam,Maize,"Weeds, drought, ear rot",TRUE,TRUE,food sell discard,Lower quality maize sold in same village
20nov15_04_003,M,teen,FALSE,Closest,80,7,TRUE,5,f_n fam,"Maize, millet, sorghum","Weeds, army worms, stalk borer, drought, ear rot, weevils",TRUE,FALSE,discard,
